ProjectName,content type,repositoryName,html_url,Organization,description,Participants,pushed_at,git_url,,
GeoDeepDive Regex Library API,application,gddregexapi,https://github.com/EarthCubeGeochron/gddregexapi,EarthCube Geochron,"This API serves as an interface for a GeoDeepDive derivative database that helps manage and evaluate regular expressions and search terms that can be used by researchers to develop applications that can take advantage of the GeoDeepDive library and computational infrastructure.  The application is based on two components, a Postgres database and a node.js/express.js API that is served to the web. The API is primarily designed to be used by the GeoDeepDive Regex Library application, which is a single-page application deployed using Vue.js. 0 Releases.",Simon Goring,12/10/2018,https://github.com/EarthCubeGeochron/gddregexapi.git,,
GeoDeepDive regex database navigator,application,gddregexvueapp,https://github.com/EarthCubeGeochron/gddregexvueapp,EarthCube Geochron,"A Vue.js App to help users navigate the GDD regex database. The application is based on two other components, a Postgres database and a node.js/express.js API that is served to the web. The API is primarily designed to be used by the GeoDeepDive Regex Library application, which is a single-page application deployed using Vue.js. 0 Releases.",Simon Goring,12/10/2018,https://github.com/EarthCubeGeochron/gddregexvueapp.git,,
GeoDeepDive workflow-R,application,geodiveR,https://github.com/EarthCubeGeochron/geodiveR,EarthCube Geochron,An R package to manage many of the common workflow processes within a GeoDeepDive (https://geodeepdive.org/) workflow. 0 Releases. No Readme content.,"Simon Goring, Katrin Leinweber",2018-08-30T22:36:46Z,git://github.com/EarthCubeGeochron/geodiveR.git,,
Data Discovery Studio (CINERGI) User Interface,Deployed application,geoportal-server-catalog,https://github.com/CINERGI/geoportal-server-catalog,EarthCube Data Discovery Studio (CINERGI),"Forked from https://github.com/Esri/geoportal-server-catalog.  User interface for searching the CINERGI/Data Discovery Hub/Data Discovery Studio index of Earth Science data compiled for EarthCube. Backend is Elastic Search Index, loaded from ISO19139 XML metadata produced by the CINERGI Metadata Pipeline (https://github.com/CINERGI/Foundry).  Interface is customized from base ESRI/geoportal-server-catalog project, with various updates pushed back into the base project. Java Implementation, with XML configuration files.  2 Releases, from esri master.","David Valentine, Ilya Zaslavsky, Stephen Richard, plus 8 other community developers.",4/29/2019,https://github.com/CINERGI/geoportal-server-catalog.git,,
Geochemas.org web site,web site,geoschemas-org.github.io,https://github.com/geoschemas-org/geoschemas-org.github.io,EarthCube GeoCODES,"geoschemas.org website. Geoschemas.org is an evolution of the  p418 and 419 project work sponsored by the NCAR EarthCube Office to develop conventions for documenting EarthScience datasets using the schema.org vocabulary.  Geoschemas.org started as part of the NSF EarthCube initiative to mobilize NSF data facilities to publish self-describing information about their organization, services and data holdings. Website is at https://geoschemas.org/, not much content added. This activity has migrated to an ESIP sponsored activity, see https://github.com/ESIPFed/science-on-schema.org  for most current guidelines on publishing schema.org for describing a Data Repository or Dataset.  0 releases. No Readme content.",Adam Shepherd,2021-09-12T21:32:51Z,git://github.com/geoschemas-org/geoschemas-org.github.io.git,,
GeoCODES Gleaner,application,gleaner,https://github.com/gleanerio/gleaner,EarthCube GeoCODES,"Gleaner is a tool for working with structured data on the web to support geosciences.  Gleaner is the structured data on the web indexing tool developed as part of NSF EarthCube. Its focus is on collection JSON-LD encoding data graphs describing data resources and services. Gleaner can then process and generate a semantic network based on a list of providers.  The Summoner, which uses site map files to access and parse facility resources pages. Summoner places the results of these calls into a S3 API compliant storage. The Miller, which takes the JSON-LD documents pulled and stored by summoner and runs them through various millers. These millers can do various things. 7 Releases.","Doug Fils, Adam Shepherd, David Valentine",11/9/2021,https://github.com/gleanerio/gleaner.git,,
GeoLink Harvest System,application,glharvest,https://github.com/ec-geolink/glharvest,EarthCube GeoLink,"The GeoLink Harvest System (Harvester) retrieves RDF dumps of datasets from providers, imports them into its triple store in separate named graphs, and makes the combined set of named graphs available for further processing (i.e., co-reference resolution).  Each provider produces a dump of their data and makes it dumps available to the Harvester over publicly-accesible HTTP endpoints. Each provider also creates a VoID file containing RDF for a single void:Dataset and the Harvester uses this to programmatically harvest each of the provider's individual RDF data dumps. Python code. 0 Releases. ","Bryce Mecum, Matt Jones",1/4/2019,https://github.com/ec-geolink/glharvest.git,,
GeoLink Services,application,glservices,https://github.com/ec-geolink/glservices,EarthCube GeoLink,"Simple service API's for accessing the GeoLink triple store.  This is mostly a set of sandbox services to allow for further discussions with groups interested in exploring the use of GeoLink in thier efforts. 1 release.  Uses Javascript, GO, CSS",Doug Fils,8/21/2015,https://github.com/ec-geolink/glservices.git,,
Ensemble Toolkit for Earth Sciences workflows,application,hpc-workflows,https://github.com/radical-collaboration/hpc-workflows,EarthCube Ensemble Toolkit for Earth Sciences,"NSF16514 EarthCube Project - Award Number:1639694. create specialized computational tools that will enhance the ability of scientists to effectively and efficiently study natural hazards and renewable energy. The use of these tools will support novel methods and the use of powerful computing resources in ways that are not currently possible.   The Ensemble Toolkit will provide an important addition to the set ofcapabilities and tools that will enable the Earth Science community to use high-performance computing resources more efficiently, effectively and in an extensible fashion. This project represents the co-design of Ensemble Toolkit for Earth Sciences and is a collective effort of an interdisciplinary team of cyberinfrastructure and domain scientists. website: http://radical.rutgers.edu/projects/power_of_many.  0 Releases.","Weiming-Hu, Vivek Balasubramanian, Matteo Turilli, Shantenu Jha, Guido Cervone",2020-04-24T14:24:31Z,git://github.com/radical-collaboration/hpc-workflows.git,,
ICEBERG: Imagery Cyberinfrastructure and Extensible Building-Blocks to Enhance Research in the Geosciences,Specification development,ICEBERG-administration,https://github.com/iceberg-project/ICEBERG-administration,University of California-Santa Barbara,"Goal of project is to create cyberinfrastructure (CI) components that allow the geosciences community to exploit existing assets, and to establish a common workflow for reproducible imagery-enabled science using  an extensible system for coupling open-source image analysis tools with  high performance,  distributed computing (HPDC) for imagery-enabled geoscience research.  This repository contains agendas and notes for biweekly team meetings, as well as a set of software requirement specifications for several use cases releated to polar image analysis. specifications are in Adobe Acrobat and .tex format. ","Heather Lynch, bspitzbart, Ioannis Paraskevakos",7/2/2019,https://github.com/iceberg-project/ICEBERG-administration.git,,
2020 EarthCube Annual Meeting,Notebook,intake-pangeo-catalog-EarthCube-2020,https://github.com/andersy005/intake-pangeo-catalog-EarthCube-2020,Pangeo,"Intake / Pangeo Catalog: Making It Easier To Consume Earth’s Climate and Weather Data. Notebook submission for the 2020 EarthCube Annual Meeting. demonstrate the integration of data discovery tools such as intake and intake-esm (an intake plugin) with data stored in cloud optimized formats (zarr). We highlight (1) how these tools provide transparent access to local and remote catalogs and data, (2) the API for exploring arbitrary metadata associated with data, loading data sets into data array containers.  We also showcase the Pangeo catalog, an open source project to enumerate and organize cloud optimized climate data stored across a variety of providers, and a place where several intake-esm collections are now publicly available. We use one of these public collections as an example to show how an end user would explore and interact with the data, and conclude with a short overview of the catalog's online presence.","Anderson Banihirwe, Charles Blackmon-Luca, Ryan Abernathey, Joe Hamman",2020-06-12T17:24:23Z,git://github.com/andersy005/intake-pangeo-catalog-EarthCube-2020.git,,
GeoChron Ice Rafted Debris (IRD) Data Mining,application,IRDDive,https://github.com/EarthCubeGeochron/IRDDive,EarthCube Geochron,"get information about the spatiotemporal extent of IRD events over the last 5 million. The ultimate goal could be to make a series of maps with the publication date, publication, and latitude/longitude and timing of IRD events. use R and RStudio to do the data processing, GeoDeepDive to retreive documents of interest via string matching and to generate a subset of the output (for testing) as NLP output. 0 releases.","Jeremiah Marsicek, Simon Goring, Shan Ye, Katrin Leinweber",4/27/2020,https://github.com/EarthCubeGeochron/IRDDive.git,,
CHORDS,Notebook,JP_01_Real_Time_Alignment_and_Distribution_of_Weather_Radar_Data_with_Rain_Gauge_Data_for_Deep_Learn,https://github.com/jaypotnis/JP_01_Real_Time_Alignment_and_Distribution_of_Weather_Radar_Data_with_Rain_Gauge_Data_for_Deep_Learn,CHORDS,"Quantitative Precipitation Estimation (QPE) based on weather radar observations plays a significant role in the understanding of weather events, especially in real-time, where fast evolving phenomena like convective storm cells can be dangerous. We wish to demonstrate QPE using deep learning as an alternative approach to empirical relationship equations between rainfall rate and reflectivity which were developed in the past. QPE using radar reflectivity is one of the possible applications of deep learning in the weather radar field. Preprocessing this data and saving it in real-time on cloud would let the users skip the time-consuming preprocessing step and assist them to directly get to the deep learning phase. To train and test deep learning models with radar data, we must align rain gauge data in space and time. This data preprocessing requires time and resource consuming processes that involve downloading, extracting, gridding, aligning the radar data with respect to every gauge in the region. If this preprocessed dataset was readily available in real-time, deep learning can be easily performed on it by anyone without going through the heavy computations required in the process. EarthCube’s CHORDS tool is a real-time data service that can be used to store preprocessed data on cloud so that it can be accessed whenever and wherever required. In this work, we demonstrate the steps involved in preprocessing such as accessing WSR-88D radar and NASA-TRMM rain gauge data, Cartesian gridding of radar data, aligning the radar data with gauge data in real-time. This aligned data is stored on cloud using CHORDS, so that it can be readily available to users who wish to use it for deep learning. The notebook will also demonstrate the procedure for storing and retrieving the dataset from CHORDS server and an example of the deep learning process on the downloaded dataset.",Jay Potnis,2021-06-11T21:56:08Z,git://github.com/jaypotnis/JP_01_Real_Time_Alignment_and_Distribution_of_Weather_Radar_Data_with_Rain_Gauge_Data_for_Deep_Learn.git,,
Data Discovery Studio (CINERGI) Jupyter notebooks - using search results,Notebook,jupyter-cinergi,https://github.com/CINERGI/jupyter-cinergi,EarthCube Data Discovery Studio (CINERGI),Jupyter environment for Cinergi; iPython notebook. Set up for Workbench demonstration at EC annual meeting. 0 Releases. Various notebooks for parsing ISO metadata from Data Discovery Studio to develop technology to match data with applications,"Craig Willis, Stephen Richard, Ilya Zaslavsky, David Valentine",7/17/2018,https://github.com/CINERGI/jupyter-cinergi.git,,
LaserChron archive data upload,application,laserchron-uploader,https://github.com/EarthCubeGeochron/laserchron-uploader,EarthCube Geochron,Upload data to the LaserChron archive. Requires Python 3 (tested on Python 3.7).  It can be used for basic management of the LaserChron data S3 bucket. 0 Releases.,Daven Quinn,12/18/2019,https://github.com/EarthCubeGeochron/laserchron-uploader.git,,
Earth System Bridge MCM mapping tool,application,McMap,https://github.com/mprinc/McMap,EarthCube Earth System Bridge project,"EarthCube MCM Mapping tool, An interactive Modeler for the project Earth System Bridge.  Can't tell from repo content or links what the software does… 1 Release.","Sasha Rudan, sinisarudan",2019-04-05T14:15:28Z,git://github.com/mprinc/McMap.git,,
Data Discovery Studio (CINERGI) interface on MEAN stack,application,mean-cinergi,https://github.com/asonnenschein/mean-cinergi,EarthCube Data Discovery Studio (CINERGI),Web application which provides user and organizational management and controls in the form of command line tools and a graphical user interface to complement the CINERGI database and server ecosystem.  Base Dependencies: MongoDB v2.6.4; Node.js v0.10.29 64-bit; npmjs v1.4.16; bower v1.3.12; xml-to-cinergi v0.0.1-dev; Javascript. 0 Releases.,Adrian Sonnenschein,10/31/2014,https://github.com/asonnenschein/mean-cinergi.git,,
GeoCODES,application,mercantile,https://github.com/earthcubearchitecture-project418/mercantile,EarthCube Office,"Mercantile: An EarthCube Graph Server. A refactoring of interfaces (APIs) for EarthCube graph. This is a GraphQL server that connects into a defined RDF triple store.  It fronts a set of SPARQL calls to a data interface defined from the schema.org type Dataset ""class"" (ref: https://schema.org/Dataset).  This is a simple code gen build based on the 99 Designs gqlgen package (ref: https://github.com/99designs/gqlgen). This leverages the schema.org types as interface guidance. My desire is to use SHACL shape graphs for this. This has been done by TopQuadrant but is obviously closed source. ",Doug Fils,2020-10-12T14:35:19Z,git://github.com/earthcubearchitecture-project418/mercantile.git,,
What About model data RCN,web site,modeldatarcn.github.io,https://github.com/modeldatarcn/modeldatarcn.github.io,EarthCube RCN,"EarthCube RCN: “What About Model Data?”  Determining Best Practices for Archiving and Reproducibility Website. Goal: achieve open and reproducible workflows in geoscience modeling research. Two workshops planned summer 2020; The ultimate goal of these workshops is to provide model data best practices to the community, including scientific journal publishers, and funding agencies. Github repo is for web pages, workshop organization. 0 Releases. No Readme content.","Doug Schuster, schuster@ucar.edu",2021-08-18T21:29:50Z,git://github.com/modeldatarcn/modeldatarcn.github.io.git,,
Neotoma Paleoecology Database,,neotoma2,https://github.com/NeotomaDB/neotoma2,Neotoma Paleoecology Database,"Repository for the updated neotoma R package.  The neotoma2 package is built on the new Neotoma API and is intended as a starting point for a fully interactive experience with the Neotoma Paleoecology Database, to support both data access and data input through R.  The neotoma2 R package pulls data from the Neotoma Paleoecology Database. ","Simon Goring, Socorro Dominguez Vidana ",2021-11-15T16:49:36Z,git://github.com/NeotomaDB/neotoma2.git,,
GeoCODES iPython notebooks,Notebook,p418Notebooks,https://github.com/earthcubearchitecture-project418/p418Notebooks,EarthCube GeoCODES,Ipython notebooks and other interactive shell interfaces to Project 418 services.  Demonstrate spatial search and text search. 0 Releases. No Readme content.,"Doug Fils, Eric Lingerfelt",6/6/2018,https://github.com/earthcubearchitecture-project418/p418Notebooks.git,,
GeoCODES MATLAB notebooks,Notebook,p418NotebooksMATLAB,https://github.com/earthcubearchitecture-project418/p418NotebooksMATLAB,EarthCube GeoCODES,Notebooks in MATLAB using the Livescript language for P418 Access. 0 Releases. Demonstrate spatial search and text search. No Readme content.,"Kelly Luetkemeyer, Eric Lingerfelt",7/11/2018,https://github.com/earthcubearchitecture-project418/p418NotebooksMATLAB.git,,
GeoCODES R Markdown notebooks,Notebook,p418NotebooksR,https://github.com/earthcubearchitecture-project418/p418NotebooksR,EarthCube GeoCODES,Notebooks in the R language for P418 Access. Releases. Demonstrate spatial search and text search.  0 Releases. No Readme content.,Eric Lingerfelt,5/22/2018,https://github.com/earthcubearchitecture-project418/p418NotebooksR.git,,
GeoCODES DCAT Service Metadata conventions,Specification development,p419dcatservices,https://github.com/earthcubearchitecture-project418/p419dcatservices,EarthCube GeoCODES,"Development of approaches to encode information about  DCAT Dataservices for using in Schema.org JSON-LD in EarthCube registries.  Includes documentation, example instances encoded in JSON-LD. 0 Releases.","Adam Shepherd, Stephen Richard, Doug Fils",10/28/2019,https://github.com/earthcubearchitecture-project418/p419dcatservices.git,,
EarthCube Office,documentation,ProgramOfficeRoles,https://github.com/silky/ProgramOfficeRoles,EarthCube Office,These are the roles and accountabilities the staff have at EarthCube,Bruce Caron,2014-12-01T20:16:35Z,git://github.com/silky/ProgramOfficeRoles.git,,
Data Discovery Studio (CINERGI) Provenance API Server,application,PROVaaS,https://github.com/CINERGI/PROVaaS,EarthCube Data Discovery Studio (CINERGI),"The Provenance API Server for CINERGI. Python, with Docker scripts. 1 Release. No ReadMe.","Cristian Vlaescu, ci-dig, David Valentine, Tanu Malik",9/12/2016,https://github.com/CINERGI/PROVaaS.git,,
Ensemble Toolkit,application,radical.entk,https://github.com/radical-cybertools/radical.entk,EarthCube Ensemble Toolkit for Earth Sciences,The Ensemble Toolkit is a Python library for developing and executing large-scale ensemble-based workflows.. Documentation for toolkit: http://radicalentk.readthedocs.io/en/latest/.  Quick overview pdf: https://github.com/radical-collaboration/hpc-workflows/blob/master/docs/presentations/Ensemble%20Toolkit%20-%20Quick%20Overview.pdf.  Research in Advanced DIstributed Cyber- infrastructure and Applications Laboratory (RADICAL);  http://radical.rutgers.edu.  9 Releases.,"Andre Merzky,  Hyungro Lee, Mikhail Titov, Ioannis Paraskevakos",9/23/2021,https://github.com/radical-cybertools/radical.entk.git,,
Data Discovery Studio (CINERGI) metadata schema mapping ,schema mapping,schemamapping,https://github.com/CINERGI/schemamapping,EarthCube Data Discovery Studio (CINERGI),files for mapping from schema.org JSON-LD and qualified Dublin Core XML  into the ISO19139 XML metadata scheme for CINERGI pipeline. XSLT. 0 Releases.,"Stephen Richard, Katrin Leinweber ",8/8/2019,https://github.com/CINERGI/schemamapping.git,,
GeoCODES GUI server,application,server,https://github.com/earthcubearchitecture-project418gui/server,EarthCube GeoCODES,"Javascript, node.js application to validate JSON-LD docs describing EarthCube resources from GUI client; uses JSON schema documents for validation.  Demonstration deployed at https://earthcube.org/webapps/geocodes/registration/.   See project page at https://www.earthcube.org/p418gui. 0 Releases.","Eric Lingerfelt, Alex McNurlan, Maura Allen",9/3/2019,https://github.com/earthcubearchitecture-project418gui/server.git,,
Data Discovery Studio (CINERGI) Enhancer- Organization VIAF identifier,application,some_cinergi_enhancers,https://github.com/CINERGI/some_cinergi_enhancers,EarthCube Data Discovery Studio (CINERGI),"A low level API for an enhancer meant to work on CINERGI metadata objects (ISO19139 XML) to validate organizations by searching the organization names in the Virtual International Authority (VIAF) database of corporate names (http://viaf.org/), and adding VIAF identifiers to the metadata. 0 Releases","Burak Ozyurt, Raquel (Rocky)",4/30/2015,https://github.com/CINERGI/some_cinergi_enhancers.git,,
GeoChron Sparrow data system for geochemical labs,application,Sparrow,https://github.com/EarthCubeGeochron/Sparrow,EarthCube Geochron,"A software tool and schema+API spec for connecting laboratory measurements to data consumers. Sparrow is a small data system for geochronology and geochemical labs. It attempts to solve two problems at the boundary between labs and the community. Sparrow provides tools for labs to manage their data and its geological context. It also provides interfaces to allow third parties (community-level data archives or Earth models, for instance) to request data directly from the labs' computer systems. These automated links free the labs to focus on their science while providing a richer set of information to the community. Helps labs organize their data and provide it to community data systems. See https://sparrow-data.org for more information. 47 releases.  Other repos at https://github.com/EarthCubeGeochron for deployments at various labs. ","Daven Quinn, Ian Ross, Shan Ye, 
Casey Idzikowski, Ben Linzmeier ",11/4/2021,https://github.com/EarthCubeGeochron/Sparrow.git,, 
GeoChron Sparrow data system for geochemical labs,application,sparrow-uw-cosmo,https://github.com/EarthCubeGeochron/sparrow-uw-cosmo,EarthCube Geochron,Sparrow implementation for the UW Madison Cosmogenic Nuclides Lab,Shan Ye,9/20/2021,https://github.com/EarthCubeGeochron/sparrow-uw-cosmo.git,,
TAC presentation 2017,Presentation,tac_earthcube,https://github.com/SimonGoring/tac_earthcube,EarthCube Office,reveal.js presentation for EarthCube's Tech & Architecture Committee. This presentation uses reveal.js but includes original content generated by Simon Goring. It can be run simply by opening the index.html file. 0 Releases.,"Simon Goring, Adam Spiers, Hakim El Hattab",2017-10-05T05:20:25Z,git://github.com/SimonGoring/tac_earthcube.git,,
Throughput,template,Template,https://github.com/throughput-ec/Template,Throughput,A template for new repositories in the Throughput Project.,"Shane Loeffler, Simon Goring",5/20/2020,https://github.com/throughput-ec/Template.git,,
Throughput API,application,throughput_api,https://github.com/throughput-ec/throughput_api,EarthCube Throughput,"Annotation Engine neo4j API. An express/nodejs API application and skeleton. This application is designed to allow users to generate simple annotations of material using web-based resources based on the API protocols defined in the W3C standards.  Annotations are generated as conformant to W3C annotation standards, and implemented using Neo4J.  Requires Neo4J instance to be available. 0 Releases.",Simon Goring,10/4/2021,https://github.com/throughput-ec/throughput_api.git,,
Throughput,documentation,throughput_docs,https://github.com/throughput-ec/throughput_docs,,The documentation repository for Throughput.,"Simon Goring, michael lenard ",2021-11-03T01:17:03Z,git://github.com/throughput-ec/throughput_docs.git,,
Throughput Provenance server,application,throughput_prov,https://github.com/throughput-ec/throughput_prov,EarthCube Throughput,"Throughput update to the ESIP Labs Provisium code, and implementation of the W3C PROV-AQ note (https://provisium.io).  This a rewrite of the Provisium code started under ESIP (https://github.com/ESIPFed/provisium). It is dramatically different to apply lessons learned. It has been updated as part of EarthCube THROUGHPUT. 0 Releases.",Doug Fils,3/3/2019,https://github.com/throughput-ec/throughput_prov.git,,
Throughput viewer service,application,throughput_vue,https://github.com/throughput-ec/throughput_vue,EarthCube Throughput,"Single page application to serve basic Throughput services (direct annotation of a graph element). This application connects to the Throughput annotation graph database. The database itself uses a data model based on the W3C Annotation standard, although modified to fit the graph database model we have developed, and further modified for several use-cases to fit with unser interaction models. 0 Releases.",Simon Goring,9/22/2021,https://github.com/throughput-ec/throughput_vue.git,,
Throughput Annotation Database,application,throughputdb,https://github.com/throughput-ec/throughputdb,EarthCube Throughput,"The repository for the throughput Annotation Database. Cypher Queries & Case Studies. This repository contains the raw code for the neo4j Docker container, test data for populating the database, database scripts for the database schema and constraints, and helper cypher scripts.  This is a neo4j Annotation Engine designed to run in a docker container for deployment portability & to facilitate reproducibility among collaborators. The intention of this engine is to provide a platform for the credentialed crowd-sourcing of scientific records and publications without requiring underlying data resources to manage additional unstructured data. 0 Releases.",Simon Goring,10/20/2020,https://github.com/throughput-ec/throughputdb.git,,
Throughput,application; data,UnacquiredSites,https://github.com/throughput-ec/UnacquiredSites,EarthCube Throughput,"Retrieving site information from journal articles for domain data repositories, including the Neotoma Paleoecology Database (neotomadb.org). Project that creates a pipeline that uses GeoDeepDive's output to find Unaquired Sites for Neotoma. Using NLP parsed text and a Data Science approach, identify whether a paper is suitable for Neotoma and detect features such as 'Site Name', 'Location', 'Age Span' and 'Site Descriptions'.",Socorro Dominguez Vidana ,2021-01-20T04:39:58Z,git://github.com/throughput-ec/UnacquiredSites.git,,
Digital Crust S3 pipeline upload,application,upload-status,https://github.com/digitalcrust/upload-status,EarthCube Digital Crust,"Listens and publishes S3 file creations to the pipeline.  Pipeline was intended to extract data for loading into searchable database, and analyzing datatypes for semantic indexing.  DockerFiles, JARs, Gradle files. 0 Releases.","Jeff Allen, Derek J. Williams",9/8/2017,https://github.com/digitalcrust/upload-status.git,,
Earthcube Engagement Presentation URSI 2018,application; data,URSI-Engagement,https://github.com/ryangooch/URSI-Engagement,EarthCube Office,"Repository for Analysis for the Earthcube Engagement Presentation for URSI 2018. R code, CQL, and JSON. 0 Releases. No Readme content.","Ryan Gooch, Simon Goring",2018-01-02T21:16:59Z,git://github.com/ryangooch/URSI-Engagement.git,,
GeoCODES Web UI,web site,webUI2,https://github.com/earthcubearchitecture-project418/webUI2,EarthCube GeoCODES,"Web User Interface consisting of JQuery-based Components communicating with the Geodex web services. For GeoCODES demonstration; Docker files, JavaScript, CSS implementation. 0 Releases. No Readme content.",Eric Lingerfelt,3/29/2019,https://github.com/earthcubearchitecture-project418/webUI2.git,,
Data Discovery Studio (CINERGI)-XML sitemap generation,Notebook,xmlsitemap,https://github.com/CINERGI/xmlsitemap,EarthCube Data Discovery Studio (CINERGI),Tools for generating xml sitemap for CINERGI catalog; linked URLs will show html versions of ISO metadata records with schema.org Dataset markup included as a script. Implemented with iPython notebooks.  Also a notebook for analyzing dataset distribution information in ISO 19139 XML metadata. 0 Releases.,Stephen Richard,8/23/2019,https://github.com/CINERGI/xmlsitemap.git,,
